328.67,360.67,0.01,-0.01,0.00,static
332.67,381.00,0.01,-0.01,0.00,static
365.67,524.33,0.01,-0.01,0.00,static
366.33,532.33,0.01,-0.01,0.00,static
366.33,543.33,0.01,-0.01,0.00,static
368.67,562.00,0.01,-0.01,0.00,static
48.33,342.33,0.01,-0.01,0.00,static
53.33,332.67,0.01,-0.01,0.00,static
59.00,322.33,0.01,-0.01,0.00,static
63.00,314.67,0.01,-0.01,0.00,static
362.33,632.00,0.01,-0.01,0.00,static
86.00,209.67,0.01,-0.01,0.00,static
117.67,125.67,0.01,-0.01,0.00,static
114.67,130.33,0.01,-0.01,0.00,static
115.00,150.33,0.01,-0.01,0.00,static
375.67,207.33,0.01,-0.01,0.00,static
370.33,202.33,0.01,-0.01,0.00,static
366.33,195.67,0.01,-0.01,0.00,static
363.67,185.67,0.01,-0.01,0.00,static
318.67,137.00,0.01,-0.01,0.00,static
308.00,140.67,0.01,-0.01,0.00,static
296.67,142.67,0.01,-0.01,0.00,static
288.33,146.33,0.01,-0.01,0.00,static
282.67,150.67,0.01,-0.01,0.00,static
276.33,157.33,0.01,-0.01,0.00,static
267.00,170.67,0.01,-0.01,0.00,static
257.33,185.67,0.01,-0.01,0.00,static
227.33,250.33,0.01,-0.01,0.00,static
223.33,268.33,0.01,-0.01,0.00,static
223.33,290.00,0.01,-0.01,0.00,static
223.33,313.33,0.01,-0.01,0.00,static
227.33,339.67,0.01,-0.01,0.00,static
235.67,366.67,0.01,-0.01,0.00,static
245.33,393.33,0.01,-0.01,0.00,static
256.67,420.00,0.01,-0.01,0.00,static
269.67,451.00,0.01,-0.01,0.00,static
280.67,472.33,0.01,-0.01,0.00,static
292.00,488.00,0.01,-0.01,0.00,static
301.33,498.33,0.01,-0.01,0.00,static
310.00,503.00,0.01,-0.01,0.00,static
319.00,505.00,0.01,-0.01,0.00,static
328.33,504.00,0.01,-0.01,0.00,static
337.67,496.00,0.01,-0.01,0.00,static
348.00,480.00,0.01,-0.01,0.00,static
357.67,454.00,0.01,-0.01,0.00,static
368.33,415.00,0.01,-0.01,0.00,static
379.33,370.00,0.01,-0.01,0.00,static
389.67,321.67,0.01,-0.01,0.00,static
397.33,277.67,0.01,-0.01,0.00,static
402.00,236.67,0.01,-0.01,0.00,static
405.00,203.00,0.01,-0.01,0.00,static
405.33,176.67,0.01,-0.01,0.00,static
405.33,151.67,0.01,-0.01,0.00,static
403.33,133.00,0.01,-0.01,0.00,static
397.33,118.00,0.01,-0.01,0.00,static
378.67,108.00,0.01,-0.01,0.00,static
355.00,105.67,0.01,-0.01,0.00,static
331.33,105.33,0.01,-0.01,0.00,static
312.67,104.67,0.01,-0.01,0.00,static
294.33,104.67,0.01,-0.01,0.00,static
278.33,104.67,0.01,-0.01,0.00,static
262.33,111.00,0.01,-0.01,0.00,static
244.00,125.67,0.01,-0.01,0.00,static
227.33,144.00,0.01,-0.01,0.00,static
214.67,163.67,0.01,-0.01,0.00,static
204.67,185.33,0.01,-0.01,0.00,static
197.00,211.67,0.01,-0.01,0.00,static
191.33,249.33,0.01,-0.01,0.00,static
190.33,284.67,0.01,-0.01,0.00,static
190.67,320.00,0.01,-0.01,0.00,static
197.00,353.33,0.01,-0.01,0.00,static
204.00,385.33,0.01,-0.01,0.00,static
210.67,422.33,0.01,-0.01,0.00,static
217.67,457.00,0.01,-0.01,0.00,static
226.00,488.67,0.01,-0.01,0.00,static
236.00,519.67,0.01,-0.01,0.00,static
246.33,549.33,0.01,-0.01,0.00,static
257.00,569.33,0.01,-0.01,0.00,static
268.67,582.00,0.01,-0.01,0.00,static
280.00,585.33,0.01,-0.01,0.00,static
294.00,579.67,0.01,-0.01,0.00,static
306.67,554.67,0.01,-0.01,0.00,static
320.67,516.67,0.01,-0.01,0.00,static
334.33,486.00,0.01,-0.01,0.00,static
344.67,469.67,0.01,-0.01,0.00,static
350.00,465.67,0.01,-0.01,0.00,static
349.67,477.00,0.01,-0.01,0.00,static
338.00,503.00,0.01,-0.01,0.00,static
327.67,529.67,0.01,-0.01,0.00,static
318.67,553.00,0.01,-0.01,0.00,static
314.00,565.00,0.01,-0.01,0.00,static
314.00,565.33,0.01,-0.01,0.00,static
154.33,336.00,0.01,-0.01,0.00,static
155.67,349.33,0.01,-0.01,0.00,static
155.67,368.33,0.01,-0.01,0.00,static
155.67,394.33,0.01,-0.01,0.00,static
155.67,431.00,0.01,-0.01,0.00,static
157.33,472.33,0.01,-0.01,0.00,static
158.67,508.00,0.01,-0.01,0.00,static
158.67,529.33,0.01,-0.01,0.00,static
155.67,538.67,0.01,-0.01,0.00,static
147.33,536.67,0.01,-0.01,0.00,static
134.33,505.67,0.01,-0.01,0.00,static
123.33,469.67,0.01,-0.01,0.00,static
113.67,437.33,0.01,-0.01,0.00,static
106.33,412.33,0.01,-0.01,0.00,static
98.67,388.33,0.01,-0.01,0.00,static
90.33,371.67,0.01,-0.01,0.00,static
84.00,359.33,0.01,-0.01,0.00,static
79.33,351.33,0.01,-0.01,0.00,static
77.00,347.67,0.01,-0.01,0.0,static
