6.67,560.33,0.36,0.51,-0.10,right
97.00,548.33,0.23,0.54,-0.11,right
24.33,544.33,0.20,0.51,-0.15,right
33.00,381.00,0.62,0.77,-0.23,right
35.00,375.00,0.50,0.65,-0.17,right
56.33,362.33,0.50,0.61,-0.17,right
8.67,192.67,0.87,0.43,-0.26,right
06.67,164.00,0.83,0.42,-0.25,right
30.67,147.67,0.82,0.40,-0.26,right
11.33,631.33,0.41,0.50,-0.0,right
